dataset	seeds_requested	n_iters	n_splats_final	psnr_db	ssim	mse	rel_l2	fit_time_s
opencell_map4_ch1	1000	50	975	16.9838	0.345001	0.02002701	0.747307	2.31
opencell_map4_ch1	1000	100	951	17.6806	0.373444	0.01705834	0.689699	0.71
opencell_map4_ch1	1000	200	954	19.4270	0.429504	0.01141042	0.564082	1.40
opencell_map4_ch1	1000	500	940	21.2405	0.483363	0.00751529	0.457788	3.49
opencell_map4_ch1	1000	1000	897	21.4959	0.492590	0.00708613	0.444525	6.89
opencell_map4_ch1	1000	2000	892	21.4851	0.492334	0.00710380	0.445078	13.77
opencell_map4_ch1	1000	3000	896	21.5188	0.493707	0.00704880	0.443352	20.58
opencell_map4_ch1	1000	5000	897	21.5210	0.493599	0.00704523	0.443240	34.35
opencell_map4_ch1	1000	8000	894	21.5377	0.494035	0.00701833	0.442393	55.48
opencell_map4_ch1	1000	12000	898	21.5267	0.493712	0.00703615	0.442954	84.74
opencell_map4_ch1	1000	20000	898	21.4956	0.492941	0.00708670	0.444543	136.99
opencell_map4_ch1	4000	50	3765	18.4899	0.395714	0.01415833	0.628344	0.56
opencell_map4_ch1	4000	100	3782	20.2577	0.443914	0.00942383	0.512631	0.70
opencell_map4_ch1	4000	200	3838	22.0856	0.503910	0.00618647	0.415349	1.39
opencell_map4_ch1	4000	500	3878	23.1840	0.548332	0.00480391	0.366007	3.43
opencell_map4_ch1	4000	1000	3820	23.3875	0.558700	0.00458404	0.357532	6.80
opencell_map4_ch1	4000	2000	3817	23.3797	0.558317	0.00459228	0.357854	13.30
opencell_map4_ch1	4000	3000	3811	23.4018	0.559232	0.00456896	0.356944	19.82
opencell_map4_ch1	4000	5000	3832	23.3787	0.558211	0.00459338	0.357896	33.13
opencell_map4_ch1	4000	8000	3830	23.3722	0.557666	0.00460028	0.358165	52.49
opencell_map4_ch1	4000	12000	3830	23.3630	0.557342	0.00461002	0.358544	78.06
opencell_map4_ch1	4000	20000	3825	23.3648	0.557324	0.00460805	0.358468	130.00
opencell_map4_ch1	16000	50	15956	22.3380	0.510499	0.00583720	0.403454	0.43
opencell_map4_ch1	16000	100	16084	23.3666	0.543680	0.00460621	0.358396	0.71
opencell_map4_ch1	16000	200	16135	24.1574	0.577267	0.00383940	0.327207	1.41
opencell_map4_ch1	16000	500	16241	24.6144	0.599873	0.00345588	0.310435	3.45
opencell_map4_ch1	16000	1000	16268	24.6931	0.603488	0.00339380	0.307634	6.86
opencell_map4_ch1	16000	2000	16274	24.7033	0.603976	0.00338583	0.307273	13.41
opencell_map4_ch1	16000	3000	16271	24.6991	0.603724	0.00338912	0.307422	20.10
opencell_map4_ch1	16000	5000	16263	24.6878	0.603129	0.00339797	0.307823	33.34
opencell_map4_ch1	16000	8000	16268	24.7044	0.603981	0.00338500	0.307235	52.77
opencell_map4_ch1	16000	12000	16270	24.7054	0.604035	0.00338424	0.307201	78.73
opencell_map4_ch1	16000	20000	16271	24.6979	0.603715	0.00339007	0.307465	131.44
opencell_map4_ch1	64000	50	61512	24.1592	0.584398	0.00383776	0.327138	0.54
opencell_map4_ch1	64000	100	61902	24.9204	0.607167	0.00322077	0.299689	0.87
opencell_map4_ch1	64000	200	62138	25.2468	0.620717	0.00298757	0.288636	1.70
opencell_map4_ch1	64000	500	62221	25.5286	0.631415	0.00279991	0.279424	4.23
opencell_map4_ch1	64000	1000	62149	25.5763	0.633234	0.00276929	0.277892	8.48
opencell_map4_ch1	64000	2000	62145	25.5784	0.633344	0.00276797	0.277825	16.80
opencell_map4_ch1	64000	3000	62152	25.5834	0.633544	0.00276479	0.277666	25.25
opencell_map4_ch1	64000	5000	62147	25.5803	0.633395	0.00276676	0.277765	41.29
opencell_map4_ch1	64000	8000	62149	25.5810	0.633414	0.00276631	0.277742	66.07
opencell_map4_ch1	64000	12000	62149	25.5844	0.633630	0.00276413	0.277633	99.35
opencell_map4_ch1	64000	20000	62142	25.5772	0.633324	0.00276871	0.277862	164.53
opencell_map4_ch1	256000	50	251389	25.5314	0.641940	0.00279808	0.279332	0.62
opencell_map4_ch1	256000	100	251497	25.7315	0.648631	0.00267210	0.272972	0.98
opencell_map4_ch1	256000	200	251712	25.8921	0.653408	0.00257506	0.267969	1.88
opencell_map4_ch1	256000	500	251550	26.3885	0.664630	0.00229693	0.253084	4.57
opencell_map4_ch1	256000	1000	250872	26.7030	0.670613	0.00213648	0.244085	9.23
opencell_map4_ch1	256000	2000	250780	26.7466	0.671623	0.00211516	0.242864	18.08
opencell_map4_ch1	256000	3000	250824	26.7376	0.671599	0.00211951	0.243113	26.83
opencell_map4_ch1	256000	5000	250809	26.7267	0.671178	0.00212484	0.243419	43.90
opencell_map4_ch1	256000	8000	250802	26.7358	0.671528	0.00212043	0.243166	69.94
opencell_map4_ch1	256000	12000	250828	26.7262	0.671331	0.00212509	0.243433	105.37
opencell_map4_ch1	256000	20000	250808	26.7397	0.671556	0.00211853	0.243057	174.36
