dataset	n_passes	splats_budget	iters_budget	n_splats_final	psnr_db	ssim	mse	rel_l2	max_abs_error	fit_time_s	timestamp
opencell_map4_ch1	1	32000	10000	32359	25.1443	0.619239	0.00305895	0.292064	0.757410	72.52	2026-04-15T23:50:53
opencell_map4_ch1	2	32000	10000	30984	24.5791	0.587367	0.00348409	0.311700	0.772119	20.74	2026-04-15T23:51:14
opencell_map4_ch1	4	32000	10000	31080	24.6439	0.600803	0.00343251	0.309384	0.762582	30.34	2026-04-15T23:51:45
opencell_map4_ch1	8	32000	10000	31203	23.9728	0.592034	0.00400607	0.334234	0.776125	32.30	2026-04-15T23:52:18
