dataset	seeds_requested	n_iters	n_splats_final	psnr_db	ssim	mse	rel_l2	fit_time_s
opencell_lmnb1_ch1	1000	50	966	18.0057	0.737186	0.01582828	0.858506	2.88
opencell_lmnb1_ch1	1000	100	975	18.1330	0.747400	0.01537106	0.846016	1.49
opencell_lmnb1_ch1	1000	200	930	19.3061	0.776576	0.01173236	0.739127	2.91
opencell_lmnb1_ch1	1000	500	897	20.9000	0.820141	0.00812833	0.615215	7.08
opencell_lmnb1_ch1	1000	1000	752	21.5387	0.833451	0.00701667	0.571600	13.49
opencell_lmnb1_ch1	1000	2000	725	21.5415	0.834250	0.00701210	0.571414	27.05
opencell_lmnb1_ch1	1000	3000	718	21.5610	0.834425	0.00698076	0.570135	39.36
opencell_lmnb1_ch1	1000	5000	738	21.5165	0.833713	0.00705263	0.573063	63.54
opencell_lmnb1_ch1	1000	8000	726	21.5258	0.833964	0.00703747	0.572447	104.59
opencell_lmnb1_ch1	1000	12000	727	21.5419	0.833650	0.00701149	0.571389	155.13
opencell_lmnb1_ch1	1000	20000	739	21.4755	0.832877	0.00711946	0.575771	254.27
opencell_lmnb1_ch1	4000	50	3501	19.4959	0.746272	0.01123091	0.723159	0.79
opencell_lmnb1_ch1	4000	100	3512	22.1797	0.786779	0.00605389	0.530938	1.00
opencell_lmnb1_ch1	4000	200	3627	26.4997	0.857784	0.00223886	0.322880	1.95
opencell_lmnb1_ch1	4000	500	3770	28.6468	0.872313	0.00136558	0.252165	4.75
opencell_lmnb1_ch1	4000	1000	3665	29.4021	0.908207	0.00114760	0.231164	9.12
opencell_lmnb1_ch1	4000	2000	3656	29.4083	0.907058	0.00114596	0.230999	17.82
opencell_lmnb1_ch1	4000	3000	3680	29.3041	0.904358	0.00117379	0.233788	26.21
opencell_lmnb1_ch1	4000	5000	3650	29.3907	0.905409	0.00115062	0.231469	42.97
opencell_lmnb1_ch1	4000	8000	3673	29.3620	0.904190	0.00115824	0.232234	69.11
opencell_lmnb1_ch1	4000	12000	3650	29.4219	0.908383	0.00114239	0.230639	101.82
opencell_lmnb1_ch1	4000	20000	3691	29.2406	0.903708	0.00119107	0.235502	168.54
opencell_lmnb1_ch1	16000	50	12802	21.9916	0.786789	0.00632175	0.542557	0.88
opencell_lmnb1_ch1	16000	100	13336	26.8397	0.857802	0.00207028	0.310486	1.30
opencell_lmnb1_ch1	16000	200	14017	30.8236	0.899329	0.00082725	0.196266	2.55
opencell_lmnb1_ch1	16000	500	14575	32.3862	0.915553	0.00057727	0.163951	6.21
opencell_lmnb1_ch1	16000	1000	14735	32.8311	0.919156	0.00052107	0.155766	12.21
opencell_lmnb1_ch1	16000	2000	14799	32.8648	0.918772	0.00051704	0.155163	24.19
opencell_lmnb1_ch1	16000	3000	14705	32.8509	0.918931	0.00051869	0.155410	36.02
opencell_lmnb1_ch1	16000	5000	14819	32.8684	0.918590	0.00051661	0.155098	59.26
opencell_lmnb1_ch1	16000	8000	14776	32.8583	0.918288	0.00051781	0.155278	94.81
opencell_lmnb1_ch1	16000	12000	14797	32.8325	0.918159	0.00052090	0.155741	141.75
opencell_lmnb1_ch1	16000	20000	14845	32.8943	0.918424	0.00051353	0.154636	235.72
opencell_lmnb1_ch1	64000	50	58606	29.0376	0.871251	0.00124807	0.241071	0.71
opencell_lmnb1_ch1	64000	100	60048	31.6985	0.895499	0.00067632	0.177461	1.09
opencell_lmnb1_ch1	64000	200	61285	33.0750	0.909809	0.00049261	0.151453	2.18
opencell_lmnb1_ch1	64000	500	62009	33.6433	0.915031	0.00043218	0.141860	5.24
opencell_lmnb1_ch1	64000	1000	62117	33.7169	0.915355	0.00042492	0.140663	10.35
opencell_lmnb1_ch1	64000	2000	62033	33.7285	0.914738	0.00042379	0.140475	20.78
opencell_lmnb1_ch1	64000	3000	62091	33.7387	0.915196	0.00042279	0.140311	30.83
opencell_lmnb1_ch1	64000	5000	62014	33.7279	0.914692	0.00042384	0.140485	50.79
opencell_lmnb1_ch1	64000	8000	62018	33.7304	0.914569	0.00042360	0.140445	80.93
opencell_lmnb1_ch1	64000	12000	62043	33.7437	0.914841	0.00042231	0.140231	120.97
opencell_lmnb1_ch1	64000	20000	62075	33.7454	0.915096	0.00042215	0.140204	201.23
opencell_lmnb1_ch1	256000	50	243878	32.4979	0.913023	0.00056262	0.161858	0.90
opencell_lmnb1_ch1	256000	100	245711	33.1622	0.922056	0.00048281	0.149940	1.34
opencell_lmnb1_ch1	256000	200	244859	33.4540	0.922849	0.00045144	0.144987	2.61
opencell_lmnb1_ch1	256000	500	246418	34.1740	0.926606	0.00038248	0.133453	6.42
opencell_lmnb1_ch1	256000	1000	246468	34.4302	0.927293	0.00036057	0.129574	12.90
opencell_lmnb1_ch1	256000	2000	246112	34.4332	0.926933	0.00036031	0.129529	26.01
opencell_lmnb1_ch1	256000	3000	245797	34.4279	0.926587	0.00036076	0.129608	38.82
opencell_lmnb1_ch1	256000	5000	245926	34.4452	0.926759	0.00035932	0.129350	64.47
opencell_lmnb1_ch1	256000	8000	245819	34.4437	0.926532	0.00035944	0.129373	103.15
opencell_lmnb1_ch1	256000	12000	245370	34.4378	0.925915	0.00035993	0.129461	155.23
opencell_lmnb1_ch1	256000	20000	245579	34.4531	0.926240	0.00035866	0.129232	257.14
