dataset	seeds_requested	n_splats_final	psnr_db	ssim	mse	rel_l2	max_abs_error	compression_ratio	fit_time_s	n_iters_actual	converged	timestamp
opencell_map4_ch0	1000	894	25.1004	0.633794	0.00308998	0.310464	0.945486	2053.69	0.00	0	False	2026-04-15T23:35:38
opencell_map4_ch0	2000	1938	26.3292	0.650486	0.00232850	0.269508	0.930672	947.37	0.00	0	False	2026-04-15T23:35:40
opencell_map4_ch0	4000	3864	27.2798	0.662803	0.00187076	0.241569	0.722447	475.16	0.00	0	False	2026-04-15T23:35:41
opencell_map4_ch0	8000	8074	27.8591	0.661808	0.00163714	0.225983	0.670628	227.40	0.00	0	False	2026-04-15T23:35:41
opencell_map4_ch0	16000	16305	28.1450	0.667304	0.00153286	0.218668	0.635285	112.60	0.00	0	False	2026-04-15T23:35:42
opencell_map4_ch0	32000	32312	28.3316	0.674571	0.00146838	0.214019	0.559501	56.82	0.00	0	False	2026-04-15T23:35:43
opencell_map4_ch0	64000	62895	28.5561	0.677783	0.00139442	0.208560	0.605112	29.19	0.00	0	False	2026-04-15T23:35:43
opencell_map4_ch0	128000	125247	28.9304	0.690856	0.00127928	0.199763	0.598515	14.66	0.00	0	False	2026-04-15T23:35:44
opencell_map4_ch0	256000	250747	29.5129	0.704365	0.00111869	0.186805	0.611872	7.32	0.00	0	False	2026-04-15T23:35:45
opencell_map4_ch0	512000	503467	29.9241	0.728884	0.00101763	0.178167	0.605452	3.65	0.00	0	False	2026-04-15T23:35:45
