dataset	n_passes	splats_budget	iters_budget	n_splats_final	psnr_db	ssim	mse	rel_l2	max_abs_error	fit_time_s	timestamp
opencell_map4_ch0	1	32000	10000	32316	28.3354	0.674781	0.00146711	0.213927	0.560389	70.00	2026-04-12T12:05:53
opencell_map4_ch0	2	32000	10000	31044	28.1160	0.651354	0.00154313	0.219399	0.612081	18.68	2026-04-12T12:06:13
opencell_map4_ch0	4	32000	10000	31048	28.1419	0.671981	0.00153394	0.218745	0.605985	28.78	2026-04-12T12:06:42
opencell_map4_ch0	8	32000	10000	31111	27.2768	0.667251	0.00187205	0.241653	0.625888	31.62	2026-04-12T12:07:14
