dataset	seeds_requested	n_splats_final	mask_fraction	held_out_mse	held_out_psnr_db	train_mse	train_psnr_db	full_mse	full_psnr_db	fit_time_s	n_iters_actual	timestamp
opencell_lmnb1_ch0	1000	829	0.0500	0.00508079	22.9407	0.00510692	22.9184	0.00510562	22.9195	0.00	0	2026-04-15T23:37:35
opencell_lmnb1_ch0	2000	1851	0.0500	0.00377444	24.2315	0.00378747	24.2165	0.00378682	24.2173	0.00	0	2026-04-15T23:37:36
opencell_lmnb1_ch0	4000	3827	0.0500	0.00327805	24.8438	0.00327977	24.8416	0.00327969	24.8417	0.00	0	2026-04-15T23:37:37
opencell_lmnb1_ch0	8000	8000	0.0500	0.00303451	25.1791	0.00301748	25.2036	0.00301833	25.2023	0.00	0	2026-04-15T23:37:37
opencell_lmnb1_ch0	16000	15687	0.0500	0.00294117	25.3148	0.00289885	25.3777	0.00290097	25.3746	0.00	0	2026-04-15T23:37:38
opencell_lmnb1_ch0	32000	31977	0.0500	0.00292684	25.3360	0.00283352	25.4767	0.00283818	25.4696	0.00	0	2026-04-15T23:37:39
opencell_lmnb1_ch0	64000	63755	0.0500	0.00296274	25.2831	0.00276711	25.5797	0.00277689	25.5644	0.00	0	2026-04-15T23:37:39
opencell_lmnb1_ch0	128000	125545	0.0500	0.00301562	25.2062	0.00266050	25.7504	0.00267825	25.7215	0.00	0	2026-04-15T23:37:40
opencell_lmnb1_ch0	256000	251211	0.0500	0.00308058	25.1137	0.00248064	26.0544	0.00251063	26.0022	0.00	0	2026-04-15T23:37:41
opencell_lmnb1_ch0	512000	502537	0.0500	0.00315714	25.0071	0.00221545	26.5454	0.00226251	26.4541	0.00	0	2026-04-15T23:37:42
