dataset	n_passes	splats_budget	iters_budget	n_splats_final	psnr_db	ssim	mse	rel_l2	max_abs_error	fit_time_s	timestamp
cells3d_nuclei	1	32000	10000	31877	35.4353	0.871245	0.00028607	0.134835	0.181929	60.92	2026-04-16T00:07:30
cells3d_nuclei	2	32000	10000	31339	36.2938	0.870739	0.00023476	0.122146	0.174969	17.52	2026-04-16T00:07:48
cells3d_nuclei	4	32000	10000	31226	35.4504	0.861408	0.00028508	0.134602	0.201567	22.03	2026-04-16T00:08:10
cells3d_nuclei	8	32000	10000	31243	33.9518	0.847969	0.00040255	0.159948	0.334878	22.41	2026-04-16T00:08:33
