dataset	n_passes	splats_budget	iters_budget	n_splats_final	psnr_db	ssim	mse	rel_l2	max_abs_error	fit_time_s	timestamp
organoid_ch0	1	32000	10000	28195	39.0410	0.933367	0.00012471	0.238458	0.312597	71.21	2026-04-16T00:12:15
organoid_ch0	2	32000	10000	27599	38.2054	0.925332	0.00015117	0.262538	0.476432	57.56	2026-04-16T00:13:13
organoid_ch0	4	32000	10000	28331	38.0920	0.938771	0.00015517	0.265988	0.508432	39.71	2026-04-16T00:13:54
organoid_ch0	8	32000	10000	28972	37.3005	0.942518	0.00018619	0.291365	0.587453	58.65	2026-04-16T00:14:53
