dataset	method	knob	bpv	compressed_bytes	psnr_raw	psnr_heldout	renderable
tribolium	h265	0	4.4652	55511273	67.91	55.14	False
tribolium	gsplats	1000	0.0032	39600	29.93	29.93	True
tribolium	gsplats	2000	0.0063	78640	31.38	31.39	True
tribolium	gsplats	4000	0.0126	156760	37.33	37.32	True
tribolium	gsplats	8000	0.0249	309520	40.08	40.05	True
tribolium	gsplats	16000	0.0509	632480	41.94	41.93	True
tribolium	gsplats	32000	0.1022	1270760	42.62	42.62	True
tribolium	gsplats	64000	0.2085	2591560	42.7	42.71	True
tribolium	gsplats	128000	0.4101	5097840	42.7	42.73	True
tribolium	gsplats	256000	0.8249	10255320	42.66	42.72	True
tribolium	gsplats	512000	1.6414	20406480	42.69	42.78	True
tribolium	noise_floor	ref	0.0	0	61.0317	61.0317	False
opencell_map4_ch0	h265	51	0.0112	25728	27.23	27.15	False
opencell_map4_ch0	h265	45	0.0437	100360	28.06	27.37	False
opencell_map4_ch0	h265	40	0.1634	374921	29.86	27.58	False
opencell_map4_ch0	h265	35	0.5773	1324872	32.23	27.79	False
opencell_map4_ch0	h265	30	1.4312	3284606	35.59	28.05	False
opencell_map4_ch0	h265	25	2.3909	5487085	38.53	28.26	False
opencell_map4_ch0	h265	20	3.3637	7719631	40.27	28.36	False
opencell_map4_ch0	h265	15	4.2714	9802890	40.99	28.39	False
opencell_map4_ch0	h265	10	5.1336	11781660	41.23	28.4	False
opencell_map4_ch0	h265	5	5.7556	13209113	41.3	28.41	False
opencell_map4_ch0	h265	0	11.1658	25625504	41.43	28.41	False
opencell_map4_ch0	gsplats	1000	0.0153	35080	25.22	25.21	True
opencell_map4_ch0	gsplats	2000	0.0338	77680	26.32	26.26	True
opencell_map4_ch0	gsplats	4000	0.0673	154480	27.27	27.21	True
opencell_map4_ch0	gsplats	8000	0.1409	323280	27.88	27.78	True
opencell_map4_ch0	gsplats	16000	0.2842	652320	28.16	27.95	True
opencell_map4_ch0	gsplats	32000	0.5635	1293320	28.33	27.96	True
