dataset	seeds_requested	n_splats_final	psnr_db	ssim	mse	rel_l2	max_abs_error	compression_ratio	fit_time_s	n_iters_actual	converged	timestamp
opencell_lmnb1_ch1	1000	726	21.5298	0.833828	0.00703111	0.572188	0.989405	5553.72	0.00	0	False	2026-04-15T23:37:57
opencell_lmnb1_ch1	2000	1714	26.0532	0.882074	0.00248133	0.339914	0.975794	2352.39	0.00	0	False	2026-04-15T23:37:58
opencell_lmnb1_ch1	4000	3676	29.3123	0.904158	0.00117157	0.233566	0.977111	1096.84	0.00	0	False	2026-04-15T23:37:59
opencell_lmnb1_ch1	8000	7787	31.5726	0.908565	0.00069621	0.180052	0.928042	517.79	0.00	0	False	2026-04-15T23:38:00
opencell_lmnb1_ch1	16000	14827	32.8520	0.916958	0.00051857	0.155392	0.542935	271.94	0.00	0	False	2026-04-15T23:38:01
opencell_lmnb1_ch1	32000	31100	33.4496	0.911123	0.00045189	0.145059	0.430816	129.65	0.00	0	False	2026-04-15T23:38:02
opencell_lmnb1_ch1	64000	62106	33.7330	0.913911	0.00042335	0.140404	0.424792	64.92	0.00	0	False	2026-04-15T23:38:03
opencell_lmnb1_ch1	128000	121923	34.0334	0.918475	0.00039506	0.135630	0.425927	33.07	0.00	0	False	2026-04-15T23:38:04
opencell_lmnb1_ch1	256000	245785	34.4440	0.926468	0.00035942	0.129369	0.455005	16.40	0.00	0	False	2026-04-15T23:38:06
opencell_lmnb1_ch1	512000	498547	34.9632	0.932288	0.00031892	0.121862	0.501647	8.09	0.00	0	False	2026-04-15T23:38:07
