dataset	n_passes	splats_budget	iters_budget	n_splats_final	psnr_db	ssim	mse	rel_l2	max_abs_error	fit_time_s	timestamp
cells3d_membrane	1	32000	10000	31835	46.5789	0.989165	0.00002198	0.092719	0.095214	60.33	2026-04-16T00:09:45
cells3d_membrane	2	32000	10000	30386	48.1982	0.991662	0.00001514	0.076948	0.112485	16.91	2026-04-16T00:10:02
cells3d_membrane	4	32000	10000	30237	46.8097	0.989645	0.00002085	0.090287	0.246873	21.98	2026-04-16T00:10:24
cells3d_membrane	8	32000	10000	30012	44.7241	0.984846	0.00003370	0.114791	0.262673	22.36	2026-04-16T00:10:46
