dataset	n_passes	splats_budget	iters_budget	n_splats_final	psnr_db	ssim	mse	rel_l2	max_abs_error	fit_time_s	timestamp
kidney_actin	1	32000	10000	31337	30.5803	0.897358	0.00087492	0.147421	0.500341	61.20	2026-04-16T00:05:09
kidney_actin	2	32000	10000	30292	30.3725	0.925639	0.00091780	0.150990	0.762963	23.95	2026-04-16T00:05:33
kidney_actin	4	32000	10000	30176	29.1170	0.906441	0.00122546	0.174472	0.717803	21.98	2026-04-16T00:05:55
kidney_actin	8	32000	10000	30436	27.1766	0.865644	0.00191574	0.218144	0.748804	21.53	2026-04-16T00:06:17
