method	knob	type	compressed_bytes	compress_time_s	decompress_time_s	psnr_db	renderable	dataset	raw_bytes	compression_ratio	bpv
gsplats	4000	lossy+renderable	158800	9.0	0.0	39.2	True	celegans_t100	42991616	270.7	0.1182
gsplats	8000	lossy+renderable	317880	8.0	0.0	39.3	True	celegans_t100	42991616	135.2	0.2366
gsplats	16000	lossy+renderable	636000	9.1	0.0	39.3	True	celegans_t100	42991616	67.6	0.4734
gsplats	32000	lossy+renderable	1272600	9.8	0.0	39.4	True	celegans_t100	42991616	33.8	0.9472
gsplats	64000	lossy+renderable	2546720	10.2	0.0	39.4	True	celegans_t100	42991616	16.9	1.8956
gsplats	128000	lossy+renderable	5092160	12.1	0.0	39.5	True	celegans_t100	42991616	8.4	3.7903
gsplats	256000	lossy+renderable	10176080	42.0	0.0	40.0	True	celegans_t100	42991616	4.2	7.5744
gsplats	512000	lossy+renderable	20344440	151.7	0.0	40.4	True	celegans_t100	42991616	2.1	15.143
quant4b-zstd	4	lossy	3302303	1.331	0.56	34.1	False	tribolium	397827040	120.5	0.2656
quant6b-zstd	6	lossy	9920389	2.135	0.604	46.6	False	tribolium	397827040	40.1	0.798
quant8b-zstd	8	lossy	25734660	3.232	0.647	59.0	False	tribolium	397827040	15.5	2.07
quant10b-zstd	10	lossy	61120568	5.774	0.782	71.0	False	tribolium	397827040	6.5	4.9164
quant12b-zstd	12	lossy	93181449	6.524	0.838	83.1	False	tribolium	397827040	4.3	7.4952
quant16b-zstd	16	lossy	117062269	6.118	0.867	107.1	False	tribolium	397827040	3.4	9.4161
blosc-lz4-shuffle	lossless	lossless	296578534	0.525	0.17	inf	False	tribolium	397827040	1.3	23.8559
blosc-zstd-shuffle	lossless	lossless	254858138	4.216	0.425	inf	False	tribolium	397827040	1.6	20.5
blosc-zstd-bitshuffle	lossless	lossless	267739762	38.301	0.269	inf	False	tribolium	397827040	1.5	21.5362
gsplats	4000	lossy+renderable	158360	254.9	0.0	37.2	True	tribolium	397827040	2512.2	0.0127
gsplats	1000	lossy+renderable	39640	24.9	0.0	29.9	True	tribolium	397827040	10036.0	0.0032
gsplats	2000	lossy+renderable	78720	44.3	0.0	31.3	True	tribolium	397827040	5053.7	0.0063
gsplats	8000	lossy+renderable	308920	65.4	0.0	40.3	True	tribolium	397827040	1287.8	0.0248
gsplats	16000	lossy+renderable	632520	57.9	0.0	42.0	True	tribolium	397827040	629.0	0.0509
gsplats	32000	lossy+renderable	1270800	58.3	0.0	42.6	True	tribolium	397827040	313.1	0.1022
gsplats	64000	lossy+renderable	2591600	390.6	0.0	42.7	True	tribolium	397827040	153.5	0.2085
gsplats	128000	lossy+renderable	5097920	449.7	0.0	42.7	True	tribolium	397827040	78.0	0.4101
gsplats	256000	lossy+renderable	10255080	471.4	0.0	42.6	True	tribolium	397827040	38.8	0.8249
gsplats	512000	lossy+renderable	20404560	443.2	0.0	42.7	True	tribolium	397827040	19.5	1.6413
quant4b-zstd	4	lossy	4394153	0.632	0.118	33.9	False	opencell_map4_ch0	73440000	16.7	1.9147
quant6b-zstd	6	lossy	8223248	0.691	0.119	46.8	False	opencell_map4_ch0	73440000	8.9	3.5831
quant8b-zstd	8	lossy	12625958	0.526	0.123	59.0	False	opencell_map4_ch0	73440000	5.8	5.5015
quant10b-zstd	10	lossy	20007344	1.275	0.164	71.1	False	opencell_map4_ch0	73440000	3.7	8.7178
quant12b-zstd	12	lossy	24184043	1.004	0.166	83.1	False	opencell_map4_ch0	73440000	3.0	10.5377
quant16b-zstd	16	lossy	31553504	0.871	0.157	107.2	False	opencell_map4_ch0	73440000	2.3	13.7488
blosc-lz4-shuffle	lossless	lossless	65797314	0.079	0.037	inf	False	opencell_map4_ch0	73440000	1.1	28.6699
blosc-zstd-shuffle	lossless	lossless	57386508	0.906	0.068	inf	False	opencell_map4_ch0	73440000	1.3	25.005
blosc-zstd-bitshuffle	lossless	lossless	59571762	5.625	0.046	inf	False	opencell_map4_ch0	73440000	1.2	25.9572
gsplats	1000	lossy+renderable	35760	12.9	0.0	25.1	True	opencell_map4_ch0	73440000	2053.7	0.0156
gsplats	2000	lossy+renderable	77520	9.2	0.0	26.3	True	opencell_map4_ch0	73440000	947.4	0.0338
gsplats	4000	lossy+renderable	154560	8.8	0.0	27.3	True	opencell_map4_ch0	73440000	475.2	0.0673
gsplats	8000	lossy+renderable	322960	8.6	0.0	27.9	True	opencell_map4_ch0	73440000	227.4	0.1407
gsplats	16000	lossy+renderable	652200	9.1	0.0	28.1	True	opencell_map4_ch0	73440000	112.6	0.2842
gsplats	32000	lossy+renderable	1292480	10.8	0.0	28.3	True	opencell_map4_ch0	73440000	56.8	0.5632
gsplats	64000	lossy+renderable	2515800	20.4	0.0	28.6	True	opencell_map4_ch0	73440000	29.2	1.0962
gsplats	128000	lossy+renderable	5009880	17.4	0.0	28.9	True	opencell_map4_ch0	73440000	14.7	2.183
gsplats	256000	lossy+renderable	10029880	22.2	0.0	29.5	True	opencell_map4_ch0	73440000	7.3	4.3703
gsplats	512000	lossy+renderable	20138680	31.5	0.0	29.9	True	opencell_map4_ch0	73440000	3.6	8.775
