dataset	n_passes	splats_budget	iters_budget	n_splats_final	psnr_db	ssim	mse	rel_l2	max_abs_error	fit_time_s	timestamp
celegans_t100	1	32000	10000	31815	39.3780	0.893792	0.00011540	0.372729	0.208235	62.40	2026-04-16T00:16:05
celegans_t100	2	32000	10000	31801	38.8264	0.874175	0.00013103	0.397166	0.938527	14.21	2026-04-16T00:16:20
celegans_t100	4	32000	10000	31780	39.3329	0.891883	0.00011660	0.374669	0.956538	21.90	2026-04-16T00:16:42
celegans_t100	8	32000	10000	31751	39.0508	0.887700	0.00012443	0.387037	0.964474	25.64	2026-04-16T00:17:08
