dataset	n_passes	splats_budget	iters_budget	n_splats_final	psnr_db	ssim	mse	rel_l2	max_abs_error	fit_time_s	timestamp
opencell_lmnb1_ch0	1	32000	10000	31960	25.4649	0.513622	0.00284129	0.270976	0.715209	105.42	2026-04-15T23:54:18
opencell_lmnb1_ch0	2	32000	10000	31283	25.1581	0.491473	0.00304922	0.280716	0.674976	37.41	2026-04-15T23:54:57
opencell_lmnb1_ch0	4	32000	10000	31292	25.3912	0.508723	0.00288988	0.273283	0.691159	54.50	2026-04-15T23:55:53
opencell_lmnb1_ch0	8	32000	10000	31334	24.7753	0.504621	0.00333019	0.293365	0.731301	59.33	2026-04-15T23:56:53
