dataset	seeds_requested	n_splats_final	mask_fraction	held_out_mse	held_out_psnr_db	train_mse	train_psnr_db	full_mse	full_psnr_db	fit_time_s	n_iters_actual	timestamp
opencell_map4_ch0	1000	877	0.0499	0.00301148	25.2122	0.00300862	25.2163	0.00300877	25.2161	0.00	0	2026-04-15T23:36:01
opencell_map4_ch0	2000	1942	0.0499	0.00236644	26.2591	0.00233475	26.3176	0.00233633	26.3147	0.00	0	2026-04-15T23:36:01
opencell_map4_ch0	4000	3862	0.0499	0.00189966	27.2132	0.00187293	27.2748	0.00187426	27.2717	0.00	0	2026-04-15T23:36:01
opencell_map4_ch0	8000	8082	0.0499	0.00166872	27.7762	0.00162951	27.8794	0.00163147	27.8742	0.00	0	2026-04-15T23:36:02
opencell_map4_ch0	16000	16308	0.0499	0.00160200	27.9534	0.00152563	28.1655	0.00152944	28.1547	0.00	0	2026-04-15T23:36:02
opencell_map4_ch0	32000	32333	0.0499	0.00160167	27.9543	0.00146180	28.3511	0.00146878	28.3304	0.00	0	2026-04-15T23:36:03
opencell_map4_ch0	64000	62936	0.0499	0.00163220	27.8723	0.00138776	28.5769	0.00139996	28.5389	0.00	0	2026-04-15T23:36:03
opencell_map4_ch0	128000	125334	0.0499	0.00166320	27.7906	0.00127874	28.9322	0.00129793	28.8675	0.00	0	2026-04-15T23:36:03
opencell_map4_ch0	256000	250991	0.0499	0.00170432	27.6845	0.00112037	29.5064	0.00114952	29.3948	0.00	0	2026-04-15T23:36:04
opencell_map4_ch0	512000	503864	0.0499	0.00173307	27.6118	0.00101807	29.9222	0.00105376	29.7726	0.00	0	2026-04-15T23:36:04
